Name	Color	Rarity	#Seen	ALSA	#Picked	ATA	#GP	GPWR	#OH	OHWR	#GD	GDWR	#GIH	#GND	GNDWR	IWD
U	C	104695	7.30	13798	10.29	24557	55.6%	3895	54.5%	7015	59.6%	10910	57.8%	13657	53.9%	3.9pp
B	U	28756	4.54	6285	6.33	30387	58.3%	5393	59.5%	7305	56.5%	12698	57.8%	17690	58.7%	-1.0pp
W	U	19470	3.30	5455	4.09	25008	58.1%	4226	58.9%	5777	56.8%	10003	57.7%	15006	58.3%	-0.7pp
R	C	78795	4.52	19413	5.77	89580	58.1%	15991	59.2%	19392	56.3%	35383	57.6%	54201	58.5%	-0.9pp
G	U	27931	4.90	5806	6.51	21098	57.4%	3716	57.2%	5320	57.7%	9036	57.4%	12064	57.4%	0.1pp
RG	R	6102	3.08	1413	3.51	3942	55.0%	657	55.6%	1002	58.7%	1659	57.4%	2284	53.2%	4.3pp
U	C	79111	4.64	11440	6.58	44750	54.8%	7826	55.6%	12310	58.5%	20136	57.4%	24623	52.7%	4.7pp
W	C	96171	5.78	16576	8.21	59641	59.0%	9634	56.4%	13877	58.0%	23511	57.3%	36139	60.0%	-2.7pp
WB	M	2259	2.37	828	2.50	2474	56.5%	436	56.4%	635	58.0%	1071	57.3%	1404	55.8%	1.6pp
W	U	23224	3.82	5409	5.10	24311	57.3%	4322	57.6%	5789	57.1%	10111	57.3%	14206	57.2%	0.1pp
R	C	81913	4.65	18016	6.22	83353	58.1%	15020	59.2%	17693	55.6%	32713	57.3%	50647	58.5%	-1.3pp
W	U	28976	5.07	5323	7.08	19273	58.2%	3337	60.2%	4398	54.9%	7735	57.2%	11538	58.8%	-1.7pp
R	C	91004	5.37	16323	7.43	68423	58.1%	11873	57.8%	14942	56.6%	26815	57.2%	41614	58.8%	-1.6pp
R	R	3462	1.75	1904	1.76	9112	57.1%	1552	55.9%	2062	58.1%	3614	57.1%	5499	57.0%	0.1pp
B	C	106954	7.34	15866	10.36	27855	57.6%	4593	57.0%	6663	57.2%	11256	57.1%	16601	58.0%	-1.0pp
G	C	105125	6.96	13193	10.08	25765	57.0%	4201	56.3%	6582	57.5%	10783	57.0%	14983	57.0%	0.0pp
